无用信息 
类型 主演 导演 制片地区 上映时间 
对外投资 股东 经营范围 公司名称 地址 
主要院系 类别 所属地区 创办时间 知名校友 
主办单位 出版周期 创刊时间 主管单位 类别 
地理位置 著名景点 开放时间 门票价格 所属国家 
游戏类型 游戏大小 游戏平台 发行日期 语言 
产品类型 屏幕尺寸 CPU型号 CPU主频 产品定位 
作者 出版社 出版时间 ISBN 书名 
国籍 出生日期 职业 出生地 代表作品 
品牌 型号 上市时间 手机类型 驱动方式 
性质 分类 作用 主要食材 大小 
登场作品 性别 配音 其他名 身高 
审定编号 品种来源 选育单位 品种类别 品种名称 
知名校友 学校特色 院系设置 主要奖项 地址 
著名景点 面积 所属地区 人口 地理位置 
外文名 分子量 分子式 CAS号 化学式 
主要城市 主要民族 主要工业 著名企业 著名景点 
产品类型 传输速率 背板带宽 应用层级 包转发率 
别称 出生日期 逝世日期 出生地 主要成就 
症状 原因 病因 治疗 性质 
成立时间 登记机关 公司类型 发照时间 公司名称 
主要城市 主要宗教 国家领袖 主要民族 官方语言 
中文学名 界 科 门 目 
发行时间 歌曲原唱 所属专辑 音乐风格 填词 
特点 位于 类型 隶属 性质 
