状元茶	配方	冰糖６０克
admxprox.dll	软件星级	2.5
鸣禽亚目	亚门	脊椎动物亚门
红豆杉	植物通高	高约30m
锐裂箭头唐松草	门	被子植物门
桃之卵	二名法	Graptopetalum amethystinum
西施马珂蛤	中文学名	西施马珂蛤
翠芽	中文名	翠芽
蝙蝠（翼手目哺乳动物）	中文学名	蝙蝠
大苞鞘石斛	族	树兰族
名和蝉寄蛾	门	节肢动物门
尤斯蒂克海螺	科	芋螺科
乌丽灯蛾	亚门	有颚亚门
薄荷冰柠檬红茶	主要原料	冰格
凤尾鱼（小型经济鱼类之一）	中文学名	凤尾鱼
几维鸟（鸟类动物）	别称	奇威鸟
伏毛紫花小升麻	界	植物界
微趣蛹笔螺	中文名	微趣蛹笔螺
紫褐蜡蘑	目	伞菌目
棕颈钩嘴鹛长江亚种	种	棕颈钩嘴鹛
出血齿菌	二名法	Hydnellum pecki
肉实树	目	柿目
川藏铁线莲	种	川藏铁线莲
火炬树	别称	鹿角漆
忘忧花	门	被子植物门
虎纹海兔螺	科属分类	贝类动物
巨骨舌鱼	亚门	脊椎动物亚门
柿子派	烹饪方式	烘培
老山檀香	纲	双子叶植物纲
莞香（瑞香科常绿乔木）	亚纲	原始花被亚纲 Archichlamydeae
凉山银莲花	拉丁学名	AnemoneliangshanicaW. T. Wang
龙王鲸	分布区域	美国
黑灵芝（真菌）	分布区域	福建
中华沟臀肖叶甲	分布区域	福建
小猿叶甲	目	鞘翅目
艾利萨海蛳螺	门	软体动物门
鞍唇沼兰	种	鞍唇沼兰
耸肩凤凰螺	拉丁学名	Ministrombus minimus
小点尺蛾	科	尺蛾科
钻柱兰	拉丁学名	Pelatantheria rivesii (Guillaum.) T. Tang et F. T. Wang
BAT.WCup	传播速度	慢
黑木蘑茶	主治	糖尿病并发症
香港毛兰	属	毛兰属
飘带兜兰	亚属	兜兰亚属
绿长脚金龟	外文名称	Hoplia shibatai
红嘴钩嘴鹛指名亚种	科	鹟科
放射形海螺	门	软体动物门
玫瑰鸢尾兰	属	鸢尾兰属
厚叶铁线莲	亚科	毛茛亚科
青绿湿伞	亚纲	同担子菌亚纲
黑守瓜	亚纲	有翅亚纲
络毒蛾	纲	昆虫纲
羽唇兰	科	兰科
长笋蟹守螺	目	中腹足目
稻螟虫	亚纲	有翅亚纲
阿里山乌龙茶	产地	台湾 阿里山
华北乌头	拉丁学名	Aconitum jeholense Nakai et Kitag. var. angustium (W. T. Wang) Y. Z. Zhao
蓝拉步甲	门	节肢动物门
美雪苔蛾	中文学名	美雪苔蛾
十二卷属	界	植物界
苹果蠧蛾	分布区域	中国
小麦细菌叶枯病	病害类型	细菌
山猫宝螺	拉丁学名	Cypraea lynx
高贵绿柄桑	俗称	非洲黄金木
漆	别名	大木漆、小木漆
紫斑红门兰	纲	单子叶植物纲
粗脉石仙桃	中文学名	粗脉石仙桃
山麻树	亚纲	原始花被亚纲
桃李（水果）	中文名	桃李
机警的花园陶俑	作者	约阿希姆·弗里德里希
红心猕猴桃	属	猕猴桃属
TrojanDropper.Agent.ams	危害等级	★★
灰鹡鸰	纲	鸟纲
滇楸	拉丁学名	CatalpafargesiiBur. f.duclouxii(Dode) Gilmour
小黄鱼	亚纲	辐鳍亚纲
沙燕（雀形目鸟类）	中文学名	沙燕
牛蒡片	种类	蔬菜
Trojan/PSW.OnLineGames.al	病毒长度	18944字节
茴香红糖茶	原料	茴香5g
黑鲨（花盆卵生鱼类）	拉丁学名	Carcharhinus Brachyura
环带榧螺	命名时间	Marrat,1881
绿缘扁角叶甲	界	动物界
剑龙（侏罗纪晚期食草性四足恐龙）	目	鸟臀目
橄榄轮丝链轮丝菌	界	细菌界
鸻（鸟类）	纲	鸟纲
金青（雀形目燕雀科动物）	门	脊索动物门
